text,rate,number,rank,inform_tip
全金属狂潮 Into the Blue,,(少于10人评分),,"
2018年1月20日 "
齐木楠雄的灾难 第二季,7.4,(602人评分),923,"
24话 / 2018年1月16日 "
戦隊ヒーロー スキヤキフォース - ぐんまの平和を願うシーズン え、また？ -,,,,"
2018年1月15日 "
剧场版 魔神Z / INFINITY,7.4,(41人评分),,"
2018年1月13日 "
剧场版 进击的巨人 Season2～觉醒的咆哮～,,(少于10人评分),,"
2018年1月13日 "
银之守墓人 第二季,,(少于10人评分),,"
6话 / 2018年1月13日 / 零盟工作室（灰仔、闵寻）「レイメイスタジオ(ハイクン、ミンシン)」 "
DARLING in the FRANXX,7.7,(1760人评分),492,"
24话 / 2018年1月13日 / 錦織敦史 / Code:000 "
混沌之行,,,,"
2018年1月13日 / YS白少 "
全金属狂潮 One Night Stand,,(少于10人评分),,"
2018年1月13日 "
哈库梅伊与蜜珂析,7.8,(617人评分),406,"
12话 / 2018年1月12日 "
BEATLESS -没有心跳的少女-,5.7,(262人评分),4308,"
24话 / 2018年1月12日 / 長谷敏司「BEATLESS」（KADOKAWA） "
博多豚骨拉面,6.7,(915人评分),2724,"
12话 / 2018年1月12日 / 木崎ちあき （メディアワークス文庫刊） "
牙斗,6.3,(208人评分),3380,"
12话 / 2018年1月12日 / 村田真哉／隅田かずあさ "
霸穹 封神演义,4.9,(51人评分),4191,"
24话 / 2018年1月12日 / 相澤伽月（相澤昌弘） / 藤崎竜（集英社文庫コミック版）安能務訳「封神演義」より / 山下喜光 "
王者歪传,,(少于10人评分),,"
12话 / 2018年1月12日 / 汪小圣 "
小木乃伊到我家,6.5,(299人评分),3093,"
12话 / 2018年1月11日 / 空木かける（comico） "
粗点心战争2,6.4,(559人评分),3480,"
12话 / 2018年1月11日 / 桑原智 / コトヤマ『だがしかし』 / 三浦菜奈 "
原书·原书使,5.4,(253人评分),4492,"
12话 / 2018年1月11日 "
宅饮。,6.3,(286人评分),3623,"
12话 / 2018年1月11日 / 火野遥人『たくのみ。』(小学館「マンガワン」連載中) "
恋如雨止,7.6,(728人评分),584,"
12话 / 2018年1月11日 / 眉月じゅん（小学馆「周刊BIG COMIC SPIRITS」连载中） "
爆肝工程师的异世界狂想曲,5.8,(687人评分),4351,"
12话 / 2018年1月11日 / 愛七 ひろ "
